,Country,City,Cluster Labels,Capital,Population,Winter,Summer,Year,Latitude,Longitude,Arts And Entertainment,Food,Nightlife,Outdoors And Recreation,Map_Color,Cluster_Color
233,Pakistan,Hyderabad,3,0,1732693,0,0,0,25.3801017,68.3750376,3.4628177063103505,4.039953990695409,1.1542725687701167,2.3085451375402335,#A0A0A0,#dbb40c
234,Pakistan,Islamabad,3,1,1014825,0,0,0,33.6938118,73.0651511,11.824698839701426,87.69984972778558,13.795481979651663,50.25497006873106,#A0A0A0,#dbb40c
235,Pakistan,Karachi,3,0,14910352,0,0,0,25.1446897,67.18477673157341,0.2012024934086063,1.3413499560573754,0.33533748901434385,1.0060124670430315,#A0A0A0,#dbb40c
236,Pakistan,Lahore,3,0,11126285,0,0,0,31.5656079,74.3141775,1.8874224415427072,5.302758288143797,0.44938629560540644,4.583740215175146,#A0A0A0,#dbb40c
237,Pakistan,Multan,3,0,1871843,0,0,0,30.1979793,71.4724978,4.808095550748647,9.081958262525223,1.6026985169162156,2.6711641948603595,#A0A0A0,#dbb40c
238,Pakistan,Peshawar,3,0,1970042,0,0,0,34.012384600000004,71.5787458,2.0304135647869437,7.106447476754302,0.0,2.0304135647869437,#A0A0A0,#dbb40c
239,Pakistan,Quetta,3,0,1001205,0,0,0,30.1891852,67.0184433,0.0,6.99157515194191,0.0,10.986760953051572,#A0A0A0,#dbb40c
240,Pakistan,Rawalpindi,3,0,2098231,0,0,0,33.6038766,73.048136,5.71910337803607,45.75282702428856,6.672287274375414,24.306189356653295,#A0A0A0,#dbb40c
241,Panama,Ciudad De Panamá,0,1,1107085,0,0,0,8.9714493,-79.53418020000002,56.90619961430242,148.1367735991365,52.38983456554826,132.78113243337233,#A0A0A0,#7e1e9c
242,Paraguay,Asunción,3,1,2887087,0,0,0,-25.2800459,-57.6343814,46.41356495318637,67.19575821580713,29.787810343089763,85.20699237674515,#A0A0A0,#dbb40c
243,Peru,Lima,3,1,10350721,0,0,0,-12.0621065,-77.03652559999998,13.81546271027883,20.578276624401337,10.820502262596007,24.249518463496408,#A0A0A0,#dbb40c
244,Philippines,Caloocan,0,0,1583978,0,0,0,14.6571285,120.984107,138.8908179280268,116.16322953980422,126.89570183424266,136.99685222900825,#A0A0A0,#7e1e9c
